epoch,accuracy,loss,val_accuracy,val_loss
0,0.6041666865348816,1.1180646419525146,0.796875,0.5993039011955261
1,0.7486979365348816,0.670667827129364,0.8489583134651184,0.47420749068260193
2,0.8255208134651184,0.5017156600952148,0.8697916865348816,0.44320616126060486
3,0.8567708134651184,0.4119666814804077,0.875,0.3604959547519684
4,0.8880208134651184,0.3174540400505066,0.8697916865348816,0.40922072529792786
5,0.8919270634651184,0.3085133135318756,0.8697916865348816,0.392425537109375
6,0.90234375,0.2636485993862152,0.8958333134651184,0.30185872316360474
7,0.921875,0.2142408937215805,0.875,0.37431374192237854
8,0.9283854365348816,0.19345296919345856,0.8958333134651184,0.3420645296573639
9,0.9375,0.16198411583900452,0.8802083134651184,0.3879258930683136
10,0.94140625,0.16091479361057281,0.8802083134651184,0.3575004041194916
11,0.9596354365348816,0.12377318739891052,0.8802083134651184,0.3556958734989166
12,0.9635416865348816,0.1167592704296112,0.875,0.3762476146221161
13,0.9609375,0.10875914245843887,0.875,0.409289687871933
14,0.9700520634651184,0.09400428086519241,0.8802083134651184,0.41092970967292786
